Id,IataCode,Name,Location,lat,lon
58506,IBZ,Ibiza,"1.372778, 38.873611",1.372778,38.873611
75145,PMI,Palma - Majorca,"2.7278, 39.5536",2.7278,39.5536
67656,MAH,Menorca,"4.215278, 39.861389",4.215278,39.861389
67652,MAD,Madrid,"-3.563333, 40.472222",-3.563333,40.472222
75185,PNA,Pamplona,"-1.644444, 42.769444",-1.644444,42.769444
73268,OVD,Asturias,"-6.033333, 43.566667",-6.033333,43.566667
81634,SDR,Santander,"-3.826389, 43.429167",-3.826389,43.429167
97626,ZAZ,Zaragoza,"-1.011086, 41.663423",-1.011086,41.663423
52485,FUE,Fuerteventura,"-13.863761, 28.452717",-13.863761,28.452717
66065,LPA,Gran Canaria Las Palmas,"-15.3847, 27.9325",-15.3847,27.9325
40101,ACE,Lanzarote,"-13.605666, 28.950795",-13.605666,28.950795
84030,TFN,Tenerife North,"-16.332778, 28.473056",-16.332778,28.473056
84035,TFS,Tenerife South,"-16.566667, 28.05",-16.566667,28.05
88533,VDE,Valverde Hierro,"-17.885278, 27.812778",-17.885278,27.812778
82195,SPC,La Palma,"-17.754167, 28.620833",-17.754167,28.620833
54426,GMZ,La Gomera Tenerife,"-17.2, 28.016667",-17.2,28.016667
79475,RGS,Burgos,"-3.621025, 42.357275",-3.621025,42.357275
88924,VLL,Valladolid,"-4.85, 41.7",-4.85,41.7
42414,BCN,Barcelona,"2.094444, 41.302778",2.094444,41.302778
54655,GRO,Girona,"2.763333, 41.909167",2.763333,41.909167
58964,ILD,Lleida,"0.5358, 41.7278",0.5358,41.7278
79381,REU,Reus,"1.169444, 41.15",1.169444,41.15
42762,BJZ,Badajoz,"-6.82, 38.891667",-6.82,38.891667
65447,LCG,A Coruña,"-8.379167, 43.299444",-8.379167,43.299444
81585,SCQ,Santiago de Compostela,"-8.4168, 42.9",-8.4168,42.9
88687,VGO,Vigo,"-8.627778, 42.226389",-8.627778,42.226389
42703,BIO,Bilbao,"-2.921667, 43.302778",-2.921667,43.302778
49235,EAS,San Sebastian,"-1.79, 43.357778",-1.79,43.357778
88788,VIT,Vitoria,"-2.724469, 42.882836",-2.724469,42.882836
40531,ALC,Alicante,"-0.566667, 38.283333",-0.566667,38.283333
88915,VLC,Valencia,"-0.478611, 39.490278",-0.478611,39.490278
68190,MLN,Melilla,"-2.955556, 35.28",-2.955556,35.28
